timestamp,caption,processing_time_seconds,audio_transcription
2024-12-13 22:04:07,"A man with glasses and a beard is leaning against a wall  looking down  with a blue tiled wall and a white ceiling in the background.",3.9075,""
2024-12-13 22:04:11,"A man with glasses and a beard is leaning over  possibly in a bathroom  with a blue tiled wall and a white ceiling in the background.",3.6841,""
2024-12-13 22:04:15,"A man with glasses and a beard is leaning against a wall  looking downwards  with a blue tiled wall and a partially visible ceiling in the background.",3.7838,""
2024-12-13 22:04:18,"A man with glasses and a beard is leaning over  possibly in a bathroom  with a blue tiled wall and a white ceiling visible in the background.",3.7816,""
2024-12-13 22:04:22,"A man with glasses and a beard is leaning against a wall  looking downwards  with a blue tiled wall and a white ceiling in the background.",3.6842,""
2024-12-13 22:04:26,"A man with glasses and a beard is leaning against a wall  looking downwards  with a blue tiled wall and a partially visible ceiling in the background.",3.7818,""
2024-12-13 22:04:30,"A man with glasses and a beard is leaning against a wall  looking downwards  with a blue tiled wall and a white ceiling in the background.",3.6832,"[2024-12-14 03:04:25] hey hi how are you paying hey how are you hey hey hey hey how how i knew the hey hey hey how i you"
2024-12-13 22:04:33,"A man with glasses and a beard is leaning against a wall  looking downwards  with a blue tiled wall and a white ceiling in the background.",3.6839,""
2024-12-13 22:04:36,"A man with a beard and glasses is leaning against a wall  looking down at something off-camera.",2.7829,""
2024-12-13 22:04:40,"A man with a beard and glasses is leaning against a wall  looking downwards  with a blue tiled wall and a partially visible ceiling in the background.",3.7843,"[2024-12-14 03:04:35] hey hi how are you"
2024-12-13 22:04:44,"A man with a beard and glasses is leaning against a wall  looking down at something off-camera  with a blue tiled wall and a partially visible ceiling in the background.",4.284,""
2024-12-13 22:04:48,"A man with glasses and a beard is leaning against a wall  looking down at something off-camera  with a blue tiled wall and a striped curtain in the background.",4.1834,""
2024-12-13 22:04:52,"The image shows a man with a beard and glasses looking down at his arm  with a broken glass piece visible behind him.",3.1844,""
2024-12-13 22:04:55,"The image shows a man with a beard wearing glasses  looking down at his arm  with a blurred background that appears to be a bathroom.",3.4866,"[2024-12-14 03:04:55] huh"
2024-12-13 22:04:58,"The image shows a man with a beard wearing glasses  looking down at something  with a blurred background that appears to be a bathroom.",3.3861,""
2024-12-13 22:05:02,"The image shows a man with a beard wearing glasses and a black shirt  looking down at something  with a blurred background that appears to be a bathroom.",3.7871,""
